timestamp,accel_x,accel_y,accel_z,estado_real,prediccion,confianza
2026-05-25 12:53:54.250,-0.03125,-0.0625,-0.890625,unknown,,
2026-05-25 12:53:55.182,-0.03125,-0.054688,-0.894531,unknown,,
2026-05-25 12:53:56.509,-0.027344,-0.054688,-0.890625,unknown,,
2026-05-25 12:53:57.221,-0.027344,-0.054688,-0.894531,unknown,,
2026-05-25 12:53:58.192,-0.027344,-0.058594,-0.890625,unknown,,
2026-05-25 12:53:59.168,-0.027344,-0.058594,-0.890625,unknown,,
2026-05-25 12:54:00.504,-0.03125,-0.058594,-0.890625,unknown,,
2026-05-25 12:54:01.327,-0.027344,-0.0625,-0.894531,unknown,,
2026-05-25 12:54:02.248,-1.378906,4.070313,-1.1875,unknown,,
2026-05-25 12:54:03.474,-0.097656,0.007813,-0.664063,unknown,,
2026-05-25 12:54:04.334,-0.605469,1.863281,0.316406,unknown,,
2026-05-25 12:54:05.247,-0.546875,0.554688,0.238281,unknown,,
2026-05-25 12:54:06.228,-1.105469,0.085938,0.441406,unknown,,
2026-05-25 12:54:07.871,-0.335938,-1.824219,-0.089844,unknown,,
2026-05-25 12:54:08.587,-2.375,-3.441406,-1.816406,unknown,,
2026-05-25 12:54:09.409,-0.25,-1.015625,-2.304688,unknown,,
2026-05-25 12:54:10.336,0.617188,-2.386719,-0.765625,unknown,,
2026-05-25 12:54:11.663,-0.484375,0.417969,-0.65625,unknown,,
2026-05-25 12:54:12.690,-0.117188,1.25,-1.5625,unknown,,
2026-05-25 12:54:13.555,-0.445313,-0.789063,-0.761719,unknown,,
2026-05-25 12:54:14.830,-1.710938,4.035156,-1.246094,unknown,,
2026-05-25 12:54:15.864,-0.976563,-0.925781,-0.496094,unknown,,
2026-05-25 12:54:16.787,-1.289063,-1.042969,-0.863281,unknown,,
2026-05-25 12:54:18.221,-0.660156,0.550781,-1.820313,unknown,,
2026-05-25 12:54:18.519,-1.503906,0.027344,-1.566406,unknown,,
2026-05-25 12:54:19.429,-0.222656,-0.449219,-1,unknown,,
2026-05-25 12:54:20.388,-0.425781,-1.5625,-0.753906,unknown,,
2026-05-25 12:54:21.396,-0.773438,-2.015625,-0.847656,unknown,,
2026-05-25 12:54:22.719,0.132813,0.328125,-1.386719,unknown,,
2026-05-25 12:54:23.447,-0.394531,-0.320313,-0.664063,unknown,,
2026-05-25 12:54:24.467,-0.359375,2.976563,-1.628906,unknown,,
2026-05-25 12:54:25.529,-1.855469,-0.617188,-0.207031,unknown,,
2026-05-25 12:54:26.516,-0.0625,-0.183594,-0.550781,unknown,,
2026-05-25 12:54:27.579,0.402344,0.429688,-1.808594,unknown,,
2026-05-25 12:54:28.659,-0.289063,0.476563,-0.464844,unknown,,
2026-05-25 12:54:29.488,-0.023438,-0.632813,-0.695313,unknown,,
2026-05-25 12:54:30.534,-1.273438,-1.203125,-0.585938,unknown,,
2026-05-25 12:54:31.634,0.113281,-0.1875,-0.53125,unknown,,
2026-05-25 12:54:32.639,-0.140625,-0.664063,-1.164063,unknown,,
2026-05-25 12:54:33.608,-0.304688,-0.785156,-1.136719,unknown,,
2026-05-25 12:54:34.707,-0.871094,-0.421875,-0.667969,unknown,,
2026-05-25 12:54:35.727,-2.457031,-1.683594,-0.753906,unknown,,
2026-05-25 12:54:36.748,-0.527344,-0.875,-0.472656,unknown,,
2026-05-25 12:54:37.876,-1.992188,-1.289063,-0.527344,unknown,,
2026-05-25 12:54:38.698,-0.597656,-1.257813,-0.523438,unknown,,
2026-05-25 12:54:39.611,-0.132813,0.335938,-1.085938,unknown,,
2026-05-25 12:54:40.743,-0.574219,-0.679688,-1.09375,unknown,,
2026-05-25 12:54:41.708,-0.839844,-0.277344,-0.933594,unknown,,
2026-05-25 12:54:42.698,0.304688,0.21875,-1.558594,unknown,,
2026-05-25 12:54:43.691,-1.34375,-1.097656,-0.515625,unknown,,
2026-05-25 12:54:44.736,-0.90625,-0.941406,-0.21875,unknown,,
2026-05-25 12:54:45.869,0.429688,0.242188,-1.257813,unknown,,
2026-05-25 12:54:46.715,0.148438,-0.214844,-1.355469,unknown,,
2026-05-25 12:54:47.808,-0.523438,-0.226563,-1.15625,unknown,,
2026-05-25 12:54:48.933,-0.027344,-1.035156,-0.480469,unknown,,
2026-05-25 12:54:49.750,0.355469,-0.28125,-0.410156,unknown,,
2026-05-25 12:54:50.819,-0.144531,0.226563,-0.328125,unknown,,
2026-05-25 12:54:51.946,-0.179688,0.835938,-0.742188,unknown,,
2026-05-25 12:54:52.728,0.140625,-0.292969,-0.445313,unknown,,
2026-05-25 12:54:54.263,-0.152344,0.328125,-0.613281,unknown,,
2026-05-25 12:54:54.851,0.253906,0.273438,-1.199219,unknown,,
2026-05-25 12:54:56.209,0.179688,0.042969,-0.492188,unknown,,
2026-05-25 12:54:57.121,-2.023438,-1.585938,-0.421875,unknown,,
2026-05-25 12:54:58.249,-0.65625,-0.027344,-1.167969,unknown,,
2026-05-25 12:54:58.876,-2.320313,-2.335938,-0.566406,unknown,,
2026-05-25 12:54:59.996,0.019531,-0.101563,-0.917969,unknown,,
2026-05-25 12:55:01.434,-0.019531,-0.070313,-0.886719,unknown,,
2026-05-25 12:55:01.934,-0.023438,-0.074219,-0.886719,unknown,,
2026-05-25 12:55:03.160,-0.019531,-0.074219,-0.882813,unknown,,
