timestamp,accel_x,accel_y,accel_z,estado_real,prediccion,confianza
2026-05-25 12:45:31.083,-0.011719,-0.070313,-0.890625,unknown,,
2026-05-25 12:45:32.045,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:45:33.057,-0.007813,-0.078125,-0.890625,unknown,,
2026-05-25 12:45:34.069,-0.015625,-0.074219,-0.894531,unknown,,
2026-05-25 12:45:35.081,-0.007813,-0.074219,-0.890625,unknown,,
2026-05-25 12:45:36.152,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:45:37.137,-0.007813,-0.078125,-0.886719,unknown,,
2026-05-25 12:45:38.164,-0.011719,-0.070313,-0.894531,unknown,,
2026-05-25 12:45:39.226,-0.007813,-0.074219,-0.886719,unknown,,
2026-05-25 12:45:40.512,-0.015625,-0.074219,-0.894531,unknown,,
2026-05-25 12:45:41.264,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:45:42.295,-0.011719,-0.078125,-0.886719,unknown,,
2026-05-25 12:45:43.373,-0.011719,-0.078125,-0.890625,unknown,,
2026-05-25 12:45:44.239,-0.011719,-0.078125,-0.890625,unknown,,
2026-05-25 12:45:45.381,-0.007813,-0.078125,-0.894531,unknown,,
2026-05-25 12:45:46.917,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:45:47.309,-0.011719,-0.078125,-0.890625,unknown,,
2026-05-25 12:45:48.400,-0.011719,-0.070313,-0.894531,unknown,,
2026-05-25 12:45:49.410,-0.007813,-0.070313,-0.890625,unknown,,
2026-05-25 12:45:50.263,-0.011719,-0.074219,-0.886719,unknown,,
2026-05-25 12:45:51.270,-0.011719,-0.078125,-0.898438,unknown,,
2026-05-25 12:45:53.212,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:45:53.673,-0.011719,-0.078125,-0.894531,unknown,,
2026-05-25 12:45:54.342,-0.007813,-0.074219,-0.894531,unknown,,
2026-05-25 12:45:55.384,-0.011719,-0.074219,-0.886719,unknown,,
2026-05-25 12:45:56.701,-0.007813,-0.074219,-0.890625,unknown,,
2026-05-25 12:45:57.446,-0.019531,-0.070313,-0.890625,unknown,,
2026-05-25 12:45:58.879,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:45:59.495,-0.007813,-0.078125,-0.894531,unknown,,
2026-05-25 12:46:00.585,-0.011719,-0.082031,-0.894531,unknown,,
2026-05-25 12:46:01.444,-0.011719,-0.070313,-0.894531,unknown,,
2026-05-25 12:46:03.349,-0.003906,-0.074219,-0.898438,unknown,,
2026-05-25 12:46:03.750,-0.007813,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:04.679,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:05.403,-0.007813,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:06.721,-0.015625,-0.070313,-0.890625,unknown,,
2026-05-25 12:46:07.474,-0.015625,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:08.503,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:09.497,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:10.514,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:11.545,-0.015625,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:12.593,-0.007813,-0.078125,-0.890625,unknown,,
2026-05-25 12:46:13.486,-0.007813,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:14.548,-0.011719,-0.078125,-0.898438,unknown,,
2026-05-25 12:46:15.567,-0.007813,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:16.648,-0.015625,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:17.647,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:18.612,-0.007813,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:20.962,-0.011719,-0.078125,-0.890625,unknown,,
2026-05-25 12:46:21.021,-0.011719,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:21.612,-0.007813,-0.078125,-0.890625,unknown,,
2026-05-25 12:46:22.561,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:23.629,-0.011719,-0.078125,-0.894531,unknown,,
2026-05-25 12:46:24.647,-0.011719,-0.078125,-0.894531,unknown,,
2026-05-25 12:46:25.711,-0.007813,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:26.701,-0.003906,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:27.714,-0.011719,-0.074219,-0.898438,unknown,,
2026-05-25 12:46:28.647,-0.007813,-0.074219,-0.886719,unknown,,
2026-05-25 12:46:30.785,-0.019531,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:31.095,-0.015625,-0.074219,-0.890625,unknown,,
2026-05-25 12:46:31.811,-0.011719,-0.074219,-0.894531,unknown,,
2026-05-25 12:46:32.862,0.085938,-0.464844,-0.65625,unknown,,
2026-05-25 12:46:34.070,0.203125,-0.300781,-0.824219,unknown,,
2026-05-25 12:46:34.723,-0.347656,-0.273438,-0.757813,unknown,,
2026-05-25 12:46:35.687,0.023438,0.027344,-1.007813,unknown,,
2026-05-25 12:46:36.773,-0.714844,-0.554688,-0.761719,unknown,,
2026-05-25 12:46:38.370,-0.40625,-0.351563,-0.792969,unknown,,
2026-05-25 12:46:38.784,-0.03125,0.042969,-0.726563,unknown,,
2026-05-25 12:46:40.111,0.179688,0.320313,-0.933594,unknown,,
2026-05-25 12:46:40.831,-0.097656,0.058594,-0.863281,unknown,,
2026-05-25 12:46:41.946,0.03125,0.152344,-0.84375,unknown,,
2026-05-25 12:46:43.292,-0.34375,-0.136719,-0.851563,unknown,,
2026-05-25 12:46:44.720,-0.03125,-0.375,-0.765625,unknown,,
2026-05-25 12:46:45.014,-0.316406,0.320313,-0.878906,unknown,,
2026-05-25 12:46:45.850,-0.246094,-0.046875,-0.953125,unknown,,
2026-05-25 12:46:47.178,-0.394531,-0.34375,-0.75,unknown,,
